Unnamed: 0,Indicator,Value,City
20,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),12.9,Chilliwack
21,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),7.4,Chilliwack
22,Diabetes age-standardized prevalence rate per 100 population (1+ yrs),9.1,Chilliwack
23,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),2.5,Chilliwack
24,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),24.2,Chilliwack
25,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),5.7,Chilliwack
26,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),8.2,Chilliwack
27,Diabetes age-standardized incidence rate per 1000 population (1+ yrs),7.6,Chilliwack
28,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),4.2,Chilliwack
29,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),24.4,Chilliwack
